entrevista,source,target,etiqueta,n
\139-VI-00042.json,Huila,Neiva,N81 Exilio - Afrontamientos colectivos - P política|,6
\168-VI-00010.json,Caracas,Caracas,N81 Exilio - Afrontamientos individuales - Adaptación|,6
\168-VI-00010.json,Caracas,Venezuela,N81 Exilio - Afrontamientos individuales - Adaptación|,6
\001-VI-00016.json,Antioquia,Segovia,N81 Exilio - Relaciones cultura de acogida - Pérdida estatus|,5
\124-VI-00005.json,Madrid,Tel Aviv,N81 Exilio - Trayectorias|Hechos - Exilio|,4
\139-VI-00042.json,Huila,Bogotá,N81 Exilio - Afrontamientos colectivos - P política|,4
\139-VI-00042.json,Huila,Cundinamarca,N81 Exilio - Afrontamientos colectivos - P política|,4
\171-VI-00007.json,Madrid,Bogotá,N81 Exilio - Trayectorias|,4
\001-VI-00013.json,Portugal,Colombia,N81 Exilio - Trayectorias  - Reasentamiento|,3
\001-VI-00016.json,Antioquia,Medellín,N81 Exilio - Relaciones cultura de acogida - Pérdida estatus|,3
\088-AA-00004.json,Chile,Chile,N81 Exilio - Estatus migratorio - Programas protección|N3 Actores - Experiencia Posdesmovilización|,3
\088-AA-00004.json,Uruguay,Chile,N81 Exilio - Estatus migratorio - Programas protección|N3 Actores - Experiencia Posdesmovilización|,3
\101-VI-00011.json,Venezuela,Armenia,N81 Exilio - Estatus migratorio - Solicitante protección internacional|,3
\101-VI-00011.json,Venezuela,Bogotá,N81 Exilio - Estatus migratorio - Solicitante protección internacional|,3
\101-VI-00011.json,Venezuela,Venezuela,N81 Exilio - Estatus migratorio - Solicitante protección internacional|,3
\124-VI-00005.json,Madrid,Bogotá,N81 Exilio - Trayectorias|Hechos - Exilio|,3
\124-VI-00005.json,Madrid,Madrid,N81 Exilio - Trayectorias|Hechos - Exilio|,3
\139-VI-00042.json,Huila,Huila,N81 Exilio - Afrontamientos colectivos - P política|,3
\168-VI-00010.json,Cúcuta,Venezuela,N81 Exilio - Estatus migratorio - Deportación|,3
\168-VI-00010.json,San Antonio del Táchira,Cúcuta,N81 Exilio - Estatus migratorio - Deportación|,3
\168-VI-00010.json,San Antonio del Táchira,Venezuela,N81 Exilio - Estatus migratorio - Deportación|,3
\168-VI-00010.json,Venezuela,Cúcuta,N81 Exilio - Retorno - Forzado|,3
\168-VI-00010.json,Venezuela,Venezuela,N81 Exilio - Políticas|,3
\168-VI-00010.json,Venezuela,Venezuela,N81 Exilio - Retorno - Forzado|,3
